Product Name,Title,Brand Name,MRP ,website price,Slug
Nefol Facewash/Cleanser,Gentle Daily Cleanser with Blue Tea,NEFOL,579,579,nefol-facewash-cleanser
Nefol Hydrating moisturizer,Lightweight Hydration Cream,NEFOL,798,798,nefol-hydrating-moisturizer
Nefol Revitalizing Face Mask,Detox Clay Face Mask,NEFOL,649,649,nefol-revitalizing-face-mask
Nefol Furbish Scrub,Gentle Exfoliating Scrub,NEFOL,699,699,nefol-furbish-scrub
Nefol Anytime cream,Tinted Daily Cream,NEFOL,646,646,nefol-anytime-cream
Nefol Wine Lotion,Anti-Aging Body Lotion,NEFOL,649,649,nefol-wine-lotion
Nefol Face Serum,Hydrating Face Serum,NEFOL,889,889,nefol-face-serum
Nefol Hair Oil,Ayurvedic Hair Oil Blend,NEFOL,789,789,nefol-hair-oil
Nefol Hair Lather Shampoo,Nourishing Hair Shampoo,NEFOL,789,789,nefol-hair-lather-shampoo
Nefol Hair Mask,Deep Conditioning Hair Mask,NEFOL,789,789,nefol-hair-mask
"Nefol Deep Clean Cobmo                                                            Facecleanser,Furbish scrub ,face mask   ",3-Step Deep Clean Kit,NEFOL,1865,1865,nefol-deep-clean-combo
Nefol Radiance Routine                                                              Face cleanser Furbish Scrub Face serum,Daily Radiance Skincare Set,NEFOL,2114,2114,nefol-radiance-routine
"Nefol Hair Care                                                                                 Hair oil, Hair Lather Shampoo ,Hair Mask",Complete Hair Care Trio,NEFOL,2367,2367,nefol-hair-care-combo
"Nefol Glow Care combo                                                                        Face cleanser/face wash ,anytime cream",Glow Care Duo,NEFOL,1278,1278,nefol-glow-care-combo
"Nefol Hydration Duo                                                                             Face cleanser or face wash, Hydrating Moisturizer",Hydration Duo,NEFOL,1377,1377,nefol-hydration-duo
"Nefol Acne Control Duo                                                                       Face cleanser, Wine lotion",Acne Control Duo,NEFOL,1228,1228,nefol-acne-control-duo
